vidName,stimSet,subName,description
GroomingOneself-brushingTeeth2,Set2,Sub3,I'm watching a man in front of a mirror brushes teeth. 
Sleep-sleep2,Set2,Sub3,I am watching a girl in a hoodie on a couch nap she tilts her head back and she's not doing. 
RacquetSports-playingTennis2,Set2,Sub3,I'm watching two men play tennis and one hits it to the other returns it. 
Soccer-playingSoccer2,Set2,Sub3,There is a soccer field behind or on the far end of the soccer field is a.  bleacher is to bleachers.  there are fans on these features cheering.  a man in a white shirt and blue shorts is running up to take a penalty kick.  it is also night time.  he shoots the penalty kick and it's saved by the goalie in blue behind the goalie is the goal which is the white fence or a normal looking soccer goal for white fence and white net.  in the face in the crowd cheering until the shot is blocked the goalie dies.  to block the shot and.  the individual in the white shirt puts his hands to his head when he sees the shock report. 
Travel-driving2,Set2,Sub3,I see a man driving when you swerves his wheel and has a physical reaction to something that we cannot see. 
Weights-weights2,Set2,Sub3,I'm watching a man doing bicep curls with no shirt on on a bench. 
Dressing-buttoningShirt2,Set2,Sub3,I'm watching a man in a black button-down shirt button his shirt behind him as a brown table. 
IntClean-moppingFloor2,Set2,Sub3,I am. Watching a man mop the floor of the building. 
FoodDrink-Pour2,Set2,Sub3,There is a cup of ground turkey.  the cup is white and has a rose with green leaves on it the cup is on top of a white saucer I next to the cup is a silver spoon behind the cup is a white toaster with another cup on it and to be.  diagonal upright of the cup is some sort of container with that is white with a rose.  put green leaves on it these are all on top of a white tablecloth individual.  uses a.  container with a white with a white container with a red rose and green leaves to pour milk in to the tea in the milk is also white. 
EatDrink-drinking2,Set2,Sub3,I am watching a girl drinking juice from blue cup. 
Dressing-tyingTie2,Set2,Sub3,I am watching a man hold a tie he is about to finish putting the tire inside out hole that you made. 
Pets-walkingDog2,Set2,Sub3,I am watching a man walk his dog. 
Cardio-spinning2,Set2,Sub3,I am watching a cycling class do a coordinated move. 
GroomingOneself-brushHair2,Set2,Sub3,I am watching someone comb their hair with a brush and sitting in the back. 
Groceries-groceryShopping2,Set2,Sub3,Hello hello. Watching a mother and daughter check out at a store. 
Dancing-modernDance2,Set2,Sub3,Watching two individuals dance with each other. 
FoodDrink-sautee2,Set2,Sub3,I am watching someone grill or cook onions in a pan on a stove top. 
TV-watchingTV2,Set2,Sub3,I am watching someone to watch a tv show. 
FoodDrink-rollingDough2,Set2,Sub3,I am watching someone use april llorando. 
Garden-gardening2,Set2,Sub3,We are in a field.  this field is very baron with a lot of dried dirt in the far end of the field is a bunch of trees and shrubs that are all green.  in the clothes end of the field is a man wearing a hat brown shirt and black pants uses a stick to take a hole in the field in order to plant a.  tree by a small tree. 
Basketball-basketball2,Set2,Sub3,I'm watching a man shoot a free throw. 
Crafts-knitting2,Set2,Sub3,I am watching someone wrap cloth around you. 
IntClean-dustingTable2,Set2,Sub3,There is a wooden table.  on this table is 3 crumbs of food.  a woman is wiping the crumbs of food this woman is wearing a dress with heart shapes on it and orange dress.  she also has a ring on her hand she wipes the food but.  does not successfully pick any of it up. 
Walk-walk2,Set2,Sub3,I am watching two individuals in suits walking down the street. 
Dancing-ballroomDancing2,Set2,Sub3,I am watching two individuals dance with each other. 
Dressing-puttingOnShoes2,Set2,Sub3,I see a woman sitting on carpeted stairs the railing and the wall are white the woman is in shirt jeans she lifts up her leg on to our other leg in order to put on her black suit. 
Yoga-yoga2,Set2,Sub3,I am watching a woman do yoga in a room with brown floors white walls she is on the green yoga mat and she balances her body on her elbows. 
IntClean-vacuuming2,Set2,Sub3,I am watching a woman vacuum shredded paper on the floor. 
EatDrink-eating2,Set2,Sub3,I am watching a man 2 on something while looking at something else. 
Aerobics-aerobics2,Set2,Sub3,I am watching a.  aerobics class during a move. 
CaringChildren-babyCrawling2,Set2,Sub3,I see a wooden floor there is a baby on this floor and a blue onesie on the baby is crawling towards some toys on the ground to toys r be some fake keys handkerchief and some sort of bottle of the baby has a.  singing its mouth.  pacifier. 
Garden-wateringPlants2,Set2,Sub3,Watching someone water points. 
Social-talk2,Set2,Sub3,A man at a desk speaking to a camera. 
Games-playingBilliards2,Set2,Sub3,I am seeing someone play pool there 5 pool balls lined up.  a purple white and yellow blue red and green ball this person uses the cue ball to hit all these balls or rather hit the purple yellow green or not green blue and red ball into a pocket. 
Social-shakeHands2,Set2,Sub3,I am watching someone give someone else a handshake while sitting down. 
GroomingOneself-applyingMakeup2,Set2,Sub3,I'm watching a woman using makeup brush on her face. 
Wash-wash2,Set2,Sub3,We are here in front of a.  or rather we are seeing a white sink with a silver faucet on the sink is a white bar soap.  amen is scrubbing his hands with so while the sink is running. 
Bike-bike2,Set2,Sub3,I am watching an old man on a bike. 
CaringChildren-playingPlayground2,Set2,Sub3,I am watching a child go down a slide. 
KitchenClean-washingDishes2,Set2,Sub3,Hey hey moana. Someone washing a ball with a sponge. 
Pets-brushingCat2,Set2,Sub3,There is a cat this cat has a black brown and white fur you can see the back of the cat but not the face or the front or the pause.  cat is on top of a piece of wood light brown wood which is on top of a gray floor the cat is being brushed by an individual individuals using a medical device that looks like a rectangle with a green handle to scrape.  or brush the cat. 
HealthSelfCare-swallowPills2,Set2,Sub3,I am. Watching a girl drink gatorade and then eat a mint. 
Golf-golf2,Set2,Sub3,I'm watching a man swinging a driver on a golf range. 
Write-writing2,Set2,Sub3,I'm watching someone write with a mechanical pencil. 
Phone-calling2,Set2,Sub3,Man talk on the phone with someone else. 
Run-running2,Set2,Sub3,We are in a city on a road and a street road.  45 individuals are running.  any competition they all have running singlets shorts and name tags.  in the background individuals are biting in the opposite direction. 
Crafts-painting2,Set2,Sub3,There is a man painting.  the man is painting a.  watercolor painting.  this painting is already has parts completed its own a white canvas and on the lower half of the painting is some rocks in a stream and you'll ever have is a mountain and the man is currently using a paint brush to paint the sky blue next to the. 
FoodDrink-stirring2,Set2,Sub3,I see a woman in a kitchen behind her is her fridge and in front of her is a silver table on this table she is stirring some kind of brown powder in a pot. 
Garden-mowingLawn2,Set2,Sub3,I'm seeing a man's lawn it's very green and there are some plant some flowers in the back with red waves in a tree with white flowers on it the man is using a lawn mower to mow his lawn I watch him walk across the screen with the lawn mower until the front porch in the lawn mowers at a site. 
GroomingOneself-shaving2,Set2,Sub3,I'm watching a man shaving his lower face. 
FoodDrink-grilling2,Set2,Sub3,We are in a kitchen there is a grill.  the grill is black on top of a silver surface next to the grill is a stove top.  there are a lot of pans and pots on the stove top.  f*** the stove top is a shelf with pots and plates on it on the grill is a steak that is cooking a chef wearing all-white uses tongs to pick up the steak check if it's cooked and it is and he flips it around. 
Pets-playingDog2,Set2,Sub3,I am watching a man petting his dog and giving him a treat. 
Computer-computer2,Set2,Sub4,A man is typing in his computer. 
Laundry-laundry2,Set2,Sub4,Adding soap to a dishwasher is filling it over the clothes. 
Social-laughing2,Set2,Sub4,A boy is laughing. 
Reading-reading2,Set2,Sub4,A man is reading a book in a library. 
FoodDrink-chopping2,Set2,Sub4,Domino's topping. Speak. 
Games-videoGames2,Set2,Sub4,Elderly man is playing video games and he looks excited. 
FoodDrink-bakingCookies2,Set2,Sub4,A woman is putting something in dough and then putting it on a tray. 
HealthSelfCare-bandaid2,Set2,Sub4,Chris is applying a band-aid to their index finger. 
GroomingOneself-brushingTeeth2,Set2,Sub4,A man is brushing his teeth in the mirror. 
Sleep-sleep2,Set2,Sub4,And her head tilts back. 
RacquetSports-playingTennis2,Set2,Sub4,It's a tennis game. 
Soccer-playingSoccer2,Set2,Sub4,So a soccer player runs and the kicks a ball and it's being.  protected by the goalie. 
Travel-driving2,Set2,Sub4,A man is driving a car and is being scared. 
Weights-weights2,Set2,Sub4,A man is working out.  she's sitting on a reclining chair.  and lifting weights. 
Dressing-buttoningShirt2,Set2,Sub4,Someone is pretending they're shirt. 
IntClean-moppingFloor2,Set2,Sub4,A man is washing the floor with a wet towel. 
FoodDrink-Pour2,Set2,Sub4,Someone is pouring milk into tea. 
EatDrink-drinking2,Set2,Sub4,Girl is drinking water from a blow cop. 
Dressing-tyingTie2,Set2,Sub4,Man is dying a time he's going how to tie it. 
Pets-walkingDog2,Set2,Sub4,Man is walking his dog they're walking down the street and the dog slows down. 
Cardio-spinning2,Set2,Sub4,It's a people dancing in a gym class while sitting or running. 
GroomingOneself-brushHair2,Set2,Sub4,A woman is coming her hair. 
Groceries-groceryShopping2,Set2,Sub4,A girl is looking at the clerk in a supermarket. 
Dancing-modernDance2,Set2,Sub4,Two people are dancing and it looks like the man is playing magic on.  other woman. 
FoodDrink-sautee2,Set2,Sub4,Someone is trying tayto's in the pan. 
TV-watchingTV2,Set2,Sub4,Man is watching tv it's a reality show. 
FoodDrink-rollingDough2,Set2,Sub4,And that is really dumb. 
Garden-gardening2,Set2,Sub4,Man is digging a hole in the soil and planting a sapling. 
Basketball-basketball2,Set2,Sub4,People are playing basketball the guy shoots the ball and hits the basket. 
Crafts-knitting2,Set2,Sub4,Someone is knitting. 
IntClean-dustingTable2,Set2,Sub4,Someone is cleaning cutting surface. 
Walk-walk2,Set2,Sub4,Meadow walker. Next to the law school library. 
Dancing-ballroomDancing2,Set2,Sub4,Two people are dancing they're dressed in black and the woman that they can shave their hands. 
Dressing-puttingOnShoes2,Set2,Sub4,A woman is putting on her shoe. Is a little faster speaking. 
Yoga-yoga2,Set2,Sub4,A woman is doing yoga and standing on their arms. 
IntClean-vacuuming2,Set2,Sub4,Vacuum cleaner clean shredded paper. 
EatDrink-eating2,Set2,Sub4,Batman is chewing. 
Aerobics-aerobics2,Set2,Sub4,It's a tv sports program. 
CaringChildren-babyCrawling2,Set2,Sub4,Toddler is crawling towards twerking. 
Garden-wateringPlants2,Set2,Sub4,Being watered. 
Social-talk2,Set2,Sub4,Speaking to the camera he has spiky hair. 
Games-playingBilliards2,Set2,Sub4,People. Niger.  hitting every ball and putting them in the hole. 
Social-shakeHands2,Set2,Sub4,Two men are shaking hands when a man is sitting in the other men is standing. 
GroomingOneself-applyingMakeup2,Set2,Sub4,When is applying makeup to her face she already has a lot of makeup. 
Wash-wash2,Set2,Sub4,Summer has washing their hands with soap. 
Bike-bike2,Set2,Sub4,Xtreme diesel. 
CaringChildren-playingPlayground2,Set2,Sub4,A girl is going down the slide. 
KitchenClean-washingDishes2,Set2,Sub4,Someone is doing the dishes. 
Pets-brushingCat2,Set2,Sub4,Someone is coming a cat. 
HealthSelfCare-swallowPills2,Set2,Sub4,A girl is drinking water from a bottle and taking a pill and swallow. 
Golf-golf2,Set2,Sub4,The man is playing goal. 
Write-writing2,Set2,Sub4,Someone is writing with a pink pen. 
Phone-calling2,Set2,Sub4,Amana speaking over over the phone. 
Run-running2,Set2,Sub4,Black men are running in the street. They're in a race. 
Crafts-painting2,Set2,Sub4,Amana coloring canvas with light blue while painting. 
FoodDrink-stirring2,Set2,Sub4,Someone is whisking whatever is inside thought it's cocoa powder. 
Garden-mowingLawn2,Set2,Sub4,It's grass someone was mowing the grass and a man. 
GroomingOneself-shaving2,Set2,Sub4,Is shaving. 
FoodDrink-grilling2,Set2,Sub4,Steak has been grilled and slipped. 
Pets-playingDog2,Set2,Sub4,A man is panting and giving his dog a treat. 
Computer-computer2,Set2,Sub5,A middle-aged man typing on a computer at a home desk. 
Laundry-laundry2,Set2,Sub5,A close up of someone pouring laundry detergent into a top open washing machine. 
Social-laughing2,Set2,Sub5,Play begins to love wholeheartedly. 
Reading-reading2,Set2,Sub5,A boy is reading a book in a library. 
FoodDrink-chopping2,Set2,Sub5,Someone is chopping up green scallions. 
Games-videoGames2,Set2,Sub5,Elderly ish man playing video games with someone else. 
FoodDrink-bakingCookies2,Set2,Sub5,Someone is holding something into pastry dough I can't quite tell what it is. 
HealthSelfCare-bandaid2,Set2,Sub5,A close up of someone putting a band-aid on their index finger. 
GroomingOneself-brushingTeeth2,Set2,Sub5,A man brushing his teeth into mirror. 
Sleep-sleep2,Set2,Sub5,A woman in a hoodie is falling asleep on a gray couch. 
RacquetSports-playingTennis2,Set2,Sub5,A tennis match where the ball lands really close to the net and the person one pretty layered rise runs up to the next two headed but he can't get it back over to net but sucks. 
Soccer-playingSoccer2,Set2,Sub5,A soccer player shoots the ball towards the net but the goalie blocks and player who kicked the ball it's frustrated. 
Travel-driving2,Set2,Sub5,And.  in his car and he's driving and shouting he has a fedora and a hoodie. 
Weights-weights2,Set2,Sub5,Assured most of man lifting weights. 
Dressing-buttoningShirt2,Set2,Sub5,Someone buttoning up a dark blue button-up. 
IntClean-moppingFloor2,Set2,Sub5,Someone mopping the floor. 
FoodDrink-Pour2,Set2,Sub5,Someone adds t to someone adds milk to a cup of tea and a porcelain cup. 
EatDrink-drinking2,Set2,Sub5,A close up of a girl drinking something from a blue cup. 
Dressing-tyingTie2,Set2,Sub5,A close up of a man teaching how to tie a tie. 
Pets-walkingDog2,Set2,Sub5,A man walking his dog and what appears to be suburbs. 
Cardio-spinning2,Set2,Sub5,And intense cycling class. 
GroomingOneself-brushHair2,Set2,Sub5,A girl is gently brushing her hair while sitting on her bed. 
Groceries-groceryShopping2,Set2,Sub5,A little girl is at the checkout of the supermarket with her mom and the cashier is swiping some cans. 
Dancing-modernDance2,Set2,Sub5,A man and a woman performing a modern dance piece where it appears as if he's resurrecting her and then she falls into his arms. 
FoodDrink-sautee2,Set2,Sub5,Chef is frying onions on top of a stove. 
TV-watchingTV2,Set2,Sub5,Someone is watching the biggest loser on tv. 
FoodDrink-rollingDough2,Set2,Sub5,When is rolling out dough on a cutting board using a rolling pin. 
Garden-gardening2,Set2,Sub5,A man is picking holes in dirt and planting plants.  he looks like he's in barren lands. 
Basketball-basketball2,Set2,Sub5,Some basketball players are playing together and one of them makes us shot from one of the lines. 
Crafts-knitting2,Set2,Sub5,Someone knitting with pink yarn it's a close up of your hands. 
IntClean-dustingTable2,Set2,Sub5,Lady is cleaning up the table with a cough in her hand. 
Walk-walk2,Set2,Sub5,Dressed class ali walking along a night too lit street. 
Dancing-ballroomDancing2,Set2,Sub5,Two people are dancing together on what appears to be a reality tv show. 
Dressing-puttingOnShoes2,Set2,Sub5,A woman is sitting on staircases and putting on sneakers. 
Yoga-yoga2,Set2,Sub5,A woman doing yoga.  on her forearms and she jumps into a handstand. 
IntClean-vacuuming2,Set2,Sub5,Someone is vacuuming up tiny shredded pieces of paper. 
EatDrink-eating2,Set2,Sub5,Dream of a man chewing something. 
Aerobics-aerobics2,Set2,Sub5,A nineties aerobic exercise video. 
CaringChildren-babyCrawling2,Set2,Sub5,Baby playing with toys the baby has a pacifier in their mouth. 
Garden-wateringPlants2,Set2,Sub5,A close-up view of a flower pot being watered there's a tiny house next to the pot. 
Social-talk2,Set2,Sub5,A man with gray hair is speaking directly to the camera he has gray hair but he looks pretty young and I think he's sitting in some type of sauces. 
Games-playingBilliards2,Set2,Sub5,Somebody shoots.  pool balls that are in a line and he shoots them one at a time into the same pocket. 
Social-shakeHands2,Set2,Sub5,Two men are greeting each other by a window one man is sitting and he has a tie and the other one I think he's wearing a jacket and he's standing up. 
GroomingOneself-applyingMakeup2,Set2,Sub5,A young woman is applying foundation to her face. 
Wash-wash2,Set2,Sub5,A close-up of someone washing their hands with soap. 
Bike-bike2,Set2,Sub5,A middle-aged man riding his bike and what appears to be a park he looks at the camera for a moment and then turns away. 
CaringChildren-playingPlayground2,Set2,Sub5,A little girl sliding down.  a blue slide on a cloudy day. 
KitchenClean-washingDishes2,Set2,Sub5,Somebody is watching a red bull and a sink and the sink is sold with soapy water. 
Pets-brushingCat2,Set2,Sub5,Someone is brushing their cat. 
HealthSelfCare-swallowPills2,Set2,Sub5,A girl drinks light blue gatorade and then popsicle in her mouth without swallowing. 
Golf-golf2,Set2,Sub5,A gold player hits the ball on a cloudy day. 
Write-writing2,Set2,Sub5,A close-up view of someone writing on paper their faces on it. 
Phone-calling2,Set2,Sub5,Young man dressed in a bright red shirt is talking on the phone. 
Run-running2,Set2,Sub5,Mary. Runners running along the street all of them were blind. 
Crafts-painting2,Set2,Sub5,Someone is painting mountain scenery onto a wall. 
FoodDrink-stirring2,Set2,Sub5,A woman whisking cocoa powder and possibly other dry ingredients in a metal bowl. 
Garden-mowingLawn2,Set2,Sub5,A man is mowing the lawn on a sunny day. 
GroomingOneself-shaving2,Set2,Sub5,A face close up of.  a man shaving his beard. 
FoodDrink-grilling2,Set2,Sub5,There is some steak on a grill and distress is flipping it over once. 
Pets-playingDog2,Set2,Sub5,A man bending down to pet a golden retriever that's ran up to him. 
Computer-computer2,Set2,Sub6,A man is typing out of keyboard. 
Laundry-laundry2,Set2,Sub6,How many pours laundry detergent into their laundry machine. 
Social-laughing2,Set2,Sub6,A little. Laughing. 
Reading-reading2,Set2,Sub6,Is reading in a library. 
FoodDrink-chopping2,Set2,Sub6,Someone is cutting up a vegetable. 
Games-videoGames2,Set2,Sub6,Man is playing video games. 
FoodDrink-bakingCookies2,Set2,Sub6,But he is forming dough into balls to make cookies. 
HealthSelfCare-bandaid2,Set2,Sub6,Person is putting a band-aid on to their pointer finger. 
GroomingOneself-brushingTeeth2,Set2,Sub6,When is prophet his teeth quickly. 
Sleep-sleep2,Set2,Sub6,A girl is falling asleep on the couch. 
RacquetSports-playingTennis2,Set2,Sub6,Men place. Tennis.  and the green shirt man loses. 
Soccer-playingSoccer2,Set2,Sub6,A man is playing soccer but his ball is being blocked by the goalie. 
Travel-driving2,Set2,Sub6,A man is driving his car it looks like he could have gotten into an accident. 
Weights-weights2,Set2,Sub6,A muscular man is lifting weights. 
Dressing-buttoningShirt2,Set2,Sub6,A man. His black shirt. 
IntClean-moppingFloor2,Set2,Sub6,What is mopping the floor. 
FoodDrink-Pour2,Set2,Sub6,Is pouring cream into their tea. 
EatDrink-drinking2,Set2,Sub6,A little. Is drinking out of a blue cup. 
Dressing-tyingTie2,Set2,Sub6,What's a polka dotted tie on. 
